security_id,exchange,board,listing_date,sample_reason
688122.SH,SH,STAR,20190722,deterministic 500 extension
688720.SH,SH,STAR,20231206,deterministic 500 extension
688584.SH,SH,STAR,20240208,deterministic 500 extension
688017.SH,SH,STAR,20200828,deterministic 500 extension
688121.SH,SH,STAR,20210906,deterministic 500 extension
688579.SH,SH,STAR,20200717,deterministic 500 extension
688159.SH,SH,STAR,20200123,deterministic 500 extension
688206.SH,SH,STAR,20211228,deterministic 500 extension
688685.SH,SH,STAR,20210513,deterministic 500 extension
688616.SH,SH,STAR,20210318,deterministic 500 extension
688556.SH,SH,STAR,20200807,deterministic 500 extension
688661.SH,SH,STAR,20210329,deterministic 500 extension
