security_id,exchange,board,listing_date,sample_reason
301491.SZ,SZ,ChiNext,20250806,deterministic 500 extension
300620.SZ,SZ,ChiNext,20170310,deterministic 500 extension
300324.SZ,SZ,ChiNext,20120608,deterministic 500 extension
300259.SZ,SZ,ChiNext,20110831,deterministic 500 extension
300198.SZ,SZ,ChiNext,20110407,deterministic 500 extension
301202.SZ,SZ,ChiNext,20230705,deterministic 500 extension
301360.SZ,SZ,ChiNext,20230425,deterministic 500 extension
300889.SZ,SZ,ChiNext,20200916,deterministic 500 extension
301631.SZ,SZ,ChiNext,20241122,deterministic 500 extension
301089.SZ,SZ,ChiNext,20211027,deterministic 500 extension
300884.SZ,SZ,ChiNext,20201112,deterministic 500 extension
300701.SZ,SZ,ChiNext,20170915,deterministic 500 extension
301207.SZ,SZ,ChiNext,20220218,deterministic 500 extension
301369.SZ,SZ,ChiNext,20220922,deterministic 500 extension
300144.SZ,SZ,ChiNext,20101209,deterministic 500 extension
